Run	Trial	Cond	Vid	Behav
601	191	1	191	0
602	602	2	192	0
603	398	2	193	0
604	604	2	194	1
605	195	1	195	0
606	401	2	196	0
607	197	1	197	0
608	403	2	198	0
609	404	2	199	0
610	405	2	200	0
611	406	2	201	0
612	407	2	202	0
613	203	1	203	0
614	409	2	204	1
615	410	2	205	0
